timestamp,facility_type,machine_id,machine_speed,shift,production_time,output_quantity,energy_consumption,energy_per_unit,ambient_temperature,humidity,defect_rate,defect_type,maintenance_needed,energy_waste_flag,anomaly_label,carbon_emission,energy_cost,production_efficiency,quality_score,predicted_energy_class,recommended_action,efficiency_score
2025-01-01 07:30:00,Knitting,M011,1090.0,Morning,0.0179,94.4,105.09,1.08,22.6,64.9,1.72,Hole,No,0,0,50.27,778.39,69.9,100.0,Low,Continue Production,73.1
2025-01-01 08:00:00,Spinning,M001,33765.0,Morning,0.0192,106.5,228.98,2.1,21.8,56.1,2.34,Hole,Yes,1,1,99.24,1775.76,67.7,88.5,High,Schedule Maintenance,72.6
2025-01-01 08:30:00,Weaving,M007,889.0,Morning,0.0215,90.7,155.48,1.62,21.7,68.7,2.39,Broken Yarn,Yes,1,1,63.74,1176.87,52.1,84.1,Medium,Schedule Maintenance,64.3
2025-01-01 09:00:00,Spinning,M002,11723.0,Morning,0.0222,88.0,155.58,1.7,20.2,58.4,1.53,Stain,No,0,0,71.03,1154.66,56.4,89.9,Medium,Continue Production,68.0
2025-01-01 09:30:00,Dyeing,M013,47.0,Morning,0.0081,102.7,180.28,1.81,26.0,74.5,1.68,,No,0,0,74.99,1355.89,75.5,90.5,High,Continue Production,78.9
2025-01-01 10:00:00,Knitting,M011,1302.0,Morning,0.0115,89.9,95.27,1.12,21.3,69.5,2.13,Float,No,0,1,38.31,677.12,63.4,86.5,Low,Inspect Machine,73.9
2025-01-01 10:30:00,Dyeing,M013,39.0,Morning,0.0089,92.3,172.15,1.87,27.6,79.2,1.78,,Yes,0,1,75.63,1389.64,68.3,92.2,Medium,Inspect Machine,70.5
2025-01-01 11:00:00,Weaving,M007,570.0,Morning,0.0166,76.2,96.35,1.3,20.4,70.7,2.23,Float,No,0,0,48.65,729.37,46.8,88.3,Low,Continue Production,54.3
2025-01-01 11:30:00,Spinning,M001,22797.0,Morning,0.0161,87.0,157.6,1.89,20.8,53.0,1.73,Stain,No,0,0,74.42,1225.12,52.7,89.2,Medium,Continue Production,67.4
2025-01-01 12:00:00,Spinning,M003,15625.0,Morning,0.0168,87.7,159.59,1.85,20.1,62.2,1.6,Stain,No,0,0,70.22,1193.01,66.9,98.4,Medium,Continue Production,76.5
2025-01-01 12:30:00,Finishing,M018,103.0,Morning,0.0197,126.4,220.88,1.77,26.9,55.6,1.61,Hole,No,1,0,97.05,1638.82,93.7,91.4,High,Optimize Machine Load,92.3
2025-01-01 13:00:00,Weaving,M007,733.0,Morning,0.0213,78.6,129.59,1.7,22.0,46.5,1.22,Float,No,1,0,59.02,976.82,51.7,92.0,Low,Optimize Machine Load,61.6
2025-01-01 13:30:00,Finishing,M020,71.0,Morning,0.0186,101.8,163.02,1.62,21.6,77.9,1.79,Hole,No,1,0,65.23,1284.63,61.9,92.5,Medium,Reduce Machine Speed,67.1
2025-01-01 14:00:00,Dyeing,M016,33.0,Evening,0.0181,83.9,163.12,1.86,28.2,70.6,1.24,,No,1,0,72.88,1220.51,54.0,96.8,Medium,Reduce Machine Speed,65.5
2025-01-01 14:30:00,Knitting,M009,1562.0,Evening,0.0095,97.2,123.67,1.26,21.3,52.3,1.57,Hole,No,0,0,50.37,906.31,70.4,93.7,Low,Continue Production,76.8
2025-01-01 15:00:00,Weaving,M006,1201.0,Evening,0.0218,100.3,156.25,1.41,21.9,58.0,1.88,,Yes,1,0,68.62,1195.28,62.9,90.0,Medium,Optimize Machine Load,69.7
2025-01-01 15:30:00,Finishing,M017,89.0,Evening,0.0099,108.7,157.55,1.44,23.3,64.9,1.26,,No,0,0,66.99,1218.92,83.2,97.0,Medium,Continue Production,83.2
2025-01-01 16:00:00,Weaving,M007,668.0,Evening,0.0237,88.2,119.98,1.38,21.3,62.2,1.68,Float,No,0,0,53.72,978.76,44.0,88.0,Low,Continue Production,55.8
2025-01-01 16:30:00,Weaving,M005,529.0,Evening,0.0191,83.0,119.54,1.44,23.6,69.1,1.46,Hole,No,0,0,51.99,923.85,50.4,93.4,Low,Continue Production,59.6
2025-01-01 17:00:00,Finishing,M017,93.0,Evening,0.0116,103.6,150.72,1.44,25.0,65.5,1.24,Stain,No,0,0,52.67,1172.74,72.9,96.7,Medium,Continue Production,75.9
2025-01-01 17:30:00,Dyeing,M015,39.0,Evening,0.0184,97.6,192.93,1.95,26.0,65.2,0.99,Stain,No,1,0,83.87,1496.97,80.9,100.0,High,Check Energy Usage,89.5
2025-01-01 18:00:00,Finishing,M019,109.0,Evening,0.0132,117.0,220.72,1.78,23.1,48.1,1.57,Float,Yes,1,0,97.7,1633.56,78.1,87.7,High,Optimize Machine Load,87.0
2025-01-01 18:30:00,Spinning,M002,16017.0,Evening,0.0198,90.2,147.37,1.69,21.2,57.9,1.73,Broken Yarn,Yes,0,1,65.3,1082.95,68.1,90.0,Medium,Schedule Maintenance,79.4
2025-01-01 19:00:00,Spinning,M001,16482.0,Evening,0.0084,74.5,154.15,2.0,20.5,50.3,0.53,Float,No,1,0,66.03,1129.73,54.6,99.0,Medium,Check Energy Usage,67.7
2025-01-01 19:30:00,Finishing,M020,111.0,Evening,0.0232,100.9,163.7,1.61,22.5,58.3,1.55,Broken Yarn,No,0,0,77.12,1192.47,66.1,84.5,Medium,Continue Production,69.9
2025-01-01 20:00:00,Dyeing,M013,26.0,Evening,0.0196,82.7,155.97,2.0,26.7,67.0,0.74,Hole,No,1,0,68.47,1218.75,53.4,97.6,Medium,Check Energy Usage,64.2
2025-01-01 20:30:00,Finishing,M019,77.0,Evening,0.0154,103.0,173.54,1.64,26.5,67.5,1.52,,No,1,0,76.55,1332.24,74.1,95.6,Medium,Check Energy Usage,80.7
2025-01-01 21:00:00,Spinning,M003,24086.0,Evening,0.0162,101.9,182.87,1.72,20.4,72.9,2.17,Stain,No,0,0,82.99,1394.82,64.9,88.3,High,Continue Production,69.5
2025-01-01 21:30:00,Finishing,M017,83.0,Evening,0.0128,107.1,146.94,1.42,22.8,68.6,1.42,Broken Yarn,Yes,0,1,64.78,1014.5,74.2,92.0,Medium,Schedule Maintenance,82.6
2025-01-01 22:00:00,Spinning,M004,34033.0,Night,0.0138,85.4,173.31,2.03,21.2,61.6,2.4,Hole,Yes,1,1,71.1,1401.11,61.0,81.4,Medium,Inspect Machine,60.0
2025-01-01 22:30:00,Weaving,M007,1094.0,Night,0.0118,97.8,159.82,1.74,21.9,62.5,2.22,Float,Yes,1,1,59.13,1180.46,68.5,85.6,Medium,Schedule Maintenance,71.9
2025-01-01 23:00:00,Knitting,M011,1478.0,Night,0.0161,111.2,84.74,0.83,21.8,58.8,2.33,Broken Yarn,Yes,0,0,34.61,726.94,78.5,86.7,Low,Continue Production,83.0
2025-01-01 23:30:00,Knitting,M009,1355.0,Night,0.0102,90.2,123.55,1.3,22.4,52.8,1.59,Hole,No,1,1,56.29,882.25,59.7,88.2,Low,Inspect Machine,64.3
2025-01-02 00:00:00,Knitting,M009,1592.0,Night,0.0201,103.5,147.28,1.45,20.5,46.8,2.03,Stain,Yes,1,0,62.07,1088.3,72.6,85.7,Medium,Check Energy Usage,75.2
2025-01-02 00:30:00,Dyeing,M013,76.0,Night,0.0111,109.1,201.73,1.91,26.8,61.2,1.67,Broken Yarn,No,0,0,90.15,1447.05,82.1,90.7,High,Continue Production,86.0
2025-01-02 01:00:00,Weaving,M006,473.0,Night,0.0077,73.6,122.82,1.65,21.4,58.0,1.69,Hole,No,1,0,53.53,949.15,43.4,89.0,Low,Reduce Machine Speed,59.4
2025-01-02 01:30:00,Spinning,M002,20350.0,Night,0.011,95.2,172.99,1.85,22.2,63.2,1.3,Stain,No,0,0,79.71,1272.4,77.7,100.0,Medium,Continue Production,79.4
2025-01-02 02:00:00,Finishing,M019,95.0,Night,0.0159,97.5,156.1,1.63,23.1,49.7,1.4,Stain,No,1,0,66.1,1145.0,76.5,92.1,Medium,Check Energy Usage,76.3
2025-01-02 02:30:00,Weaving,M006,610.0,Night,0.0237,84.3,110.65,1.26,21.2,66.0,1.77,Hole,Yes,0,0,49.56,787.15,59.0,90.4,Low,Continue Production,64.0
2025-01-02 03:00:00,Weaving,M005,685.0,Night,0.011,79.4,82.75,1.13,19.8,45.5,1.54,Broken Yarn,No,0,0,37.69,660.82,46.0,88.8,Low,Continue Production,52.1
2025-01-02 03:30:00,Spinning,M002,15115.0,Night,0.0238,90.3,188.71,2.15,21.7,59.9,1.26,Stain,No,1,0,87.34,1464.54,58.0,93.3,High,Check Energy Usage,62.4
2025-01-02 04:00:00,Finishing,M020,67.0,Night,0.0183,96.6,142.93,1.47,23.9,73.0,1.11,Hole,No,0,0,54.78,1160.18,64.9,89.4,Medium,Continue Production,68.1
2025-01-02 04:30:00,Knitting,M012,1387.0,Night,0.0077,95.5,116.6,1.16,18.4,41.9,2.1,Broken Yarn,No,0,0,48.42,859.9,62.6,82.6,Low,Continue Production,71.3
2025-01-02 05:00:00,Spinning,M002,33276.0,Night,0.0104,116.2,208.45,1.73,20.7,35.2,1.19,,No,0,0,93.24,1595.06,76.5,91.9,High,Continue Production,79.4
2025-01-02 05:30:00,Finishing,M020,30.0,Night,0.016,81.3,109.83,1.4,22.6,66.8,1.34,Hole,No,0,0,53.52,784.23,57.3,93.5,Low,Continue Production,66.4
2025-01-02 06:00:00,Finishing,M020,81.0,Morning,0.0144,95.7,160.66,1.62,24.9,59.1,1.15,Broken Yarn,No,1,0,70.2,1209.22,73.9,97.0,Medium,Optimize Machine Load,76.8
2025-01-02 06:30:00,Finishing,M018,74.0,Morning,0.0073,104.3,151.75,1.5,26.1,75.0,1.39,Broken Yarn,No,0,0,64.23,1134.06,80.6,89.6,Medium,Continue Production,84.8
2025-01-02 07:00:00,Dyeing,M016,56.0,Morning,0.0147,94.2,199.36,2.0,24.9,66.6,1.17,Broken Yarn,No,1,0,88.95,1535.71,62.2,93.1,High,Optimize Machine Load,75.6
2025-01-02 07:30:00,Knitting,M010,910.0,Morning,0.0104,82.6,100.58,1.3,20.5,75.8,1.33,Hole,No,1,0,46.82,806.09,52.4,90.7,Low,Check Energy Usage,59.3
2025-01-02 08:00:00,Spinning,M004,27096.0,Morning,0.0149,73.7,161.27,2.08,20.0,41.9,1.64,Stain,No,1,0,68.07,1266.91,47.0,87.6,Medium,Optimize Machine Load,62.3
2025-01-02 08:30:00,Dyeing,M014,50.0,Morning,0.0188,97.6,189.31,1.98,27.8,71.1,0.93,Float,No,1,0,82.91,1406.94,69.2,99.4,High,Check Energy Usage,77.8
2025-01-02 09:00:00,Knitting,M011,1376.0,Morning,0.0087,105.8,171.84,1.51,23.5,46.3,1.26,Broken Yarn,No,1,0,78.79,1347.64,77.6,92.4,Medium,Reduce Machine Speed,81.4
2025-01-02 09:30:00,Weaving,M005,646.0,Morning,0.0088,75.5,106.23,1.36,20.1,65.7,2.26,Hole,No,0,0,53.35,806.65,51.7,86.6,Low,Continue Production,61.6
2025-01-02 10:00:00,Spinning,M001,18003.0,Morning,0.0126,83.7,160.47,1.99,18.7,44.9,1.38,Stain,No,1,0,72.13,1208.19,62.2,96.4,Medium,Optimize Machine Load,71.9
2025-01-02 10:30:00,Knitting,M009,1513.0,Morning,0.0077,106.5,150.23,1.44,20.7,64.7,1.79,Stain,No,1,0,64.93,1114.91,64.6,90.3,Medium,Optimize Machine Load,76.6
2025-01-02 11:00:00,Spinning,M002,28656.0,Morning,0.0105,105.0,236.74,2.21,20.0,45.8,1.78,Stain,No,1,0,101.82,1779.19,78.5,90.1,High,Check Energy Usage,83.0
2025-01-02 11:30:00,Finishing,M017,29.0,Morning,0.0156,89.3,130.44,1.39,23.7,64.0,0.81,Stain,No,0,0,58.45,1062.34,59.6,96.8,Low,Continue Production,70.5
2025-01-02 12:00:00,Spinning,M002,29941.0,Morning,0.02,101.6,194.65,1.92,21.6,56.6,1.73,Hole,No,1,0,83.43,1493.58,73.6,90.2,High,Optimize Machine Load,76.5
2025-01-02 12:30:00,Weaving,M005,910.0,Morning,0.0193,88.6,159.75,1.8,22.0,68.6,2.5,Float,Yes,1,1,69.61,1222.68,63.2,86.6,Medium,Schedule Maintenance,71.6
2025-01-02 13:00:00,Spinning,M004,17372.0,Morning,0.0095,66.7,145.95,2.12,20.2,50.9,1.5,Hole,No,1,0,58.67,1100.19,46.2,90.5,Medium,Check Energy Usage,54.4
2025-01-02 13:30:00,Dyeing,M015,50.0,Morning,0.0239,103.7,204.04,1.96,25.9,59.2,0.53,Float,No,1,0,93.13,1650.58,84.2,94.8,High,Optimize Machine Load,87.2
2025-01-02 14:00:00,Knitting,M010,1597.0,Evening,0.0077,123.7,138.2,1.18,19.3,53.7,2.29,Hole,Yes,0,1,55.0,1103.9,96.0,90.0,Low,Inspect Machine,100.0
2025-01-02 14:30:00,Weaving,M007,764.0,Evening,0.0187,73.8,104.35,1.48,21.4,51.9,1.52,Hole,Yes,0,0,43.25,765.26,46.2,90.4,Low,Continue Production,49.7
2025-01-02 15:00:00,Spinning,M002,27320.0,Evening,0.0222,109.2,223.09,2.03,19.4,53.5,1.7,Broken Yarn,No,1,0,96.54,1686.77,79.4,94.2,High,Check Energy Usage,83.8
2025-01-02 15:30:00,Dyeing,M016,87.0,Evening,0.0131,122.7,237.97,1.88,24.8,72.6,1.67,,No,1,0,110.53,1802.38,80.2,94.4,High,Reduce Machine Speed,84.6
2025-01-02 16:00:00,Knitting,M011,1277.0,Evening,0.021,94.5,124.99,1.22,21.1,38.5,1.6,Stain,No,1,0,52.18,957.01,73.6,93.2,Low,Check Energy Usage,77.8
2025-01-02 16:30:00,Knitting,M010,1344.0,Evening,0.0097,97.8,124.97,1.23,20.5,58.7,1.53,Broken Yarn,No,1,0,51.2,922.97,68.7,92.6,Low,Optimize Machine Load,74.1
2025-01-02 17:00:00,Spinning,M003,21921.0,Evening,0.0233,98.1,185.17,1.87,22.0,67.5,1.54,Stain,No,0,0,77.61,1426.7,73.5,95.8,High,Continue Production,79.3
2025-01-02 17:30:00,Knitting,M011,888.0,Evening,0.0096,82.7,113.66,1.32,20.5,63.3,1.36,,No,1,0,55.62,923.04,59.8,90.7,Low,Check Energy Usage,66.8
2025-01-02 18:00:00,Knitting,M010,1621.0,Evening,0.0073,120.4,205.5,1.74,20.3,53.1,2.12,Stain,No,1,0,77.32,1511.31,83.1,86.7,High,Check Energy Usage,84.7
2025-01-02 18:30:00,Finishing,M017,81.0,Evening,0.0187,101.9,134.61,1.33,21.9,62.9,1.48,Broken Yarn,No,0,0,54.01,979.26,67.0,83.9,Low,Continue Production,69.8
2025-01-02 19:00:00,Dyeing,M015,77.0,Evening,0.0236,133.5,259.39,1.98,25.3,80.2,1.93,Broken Yarn,Yes,1,1,122.72,1954.63,100.0,91.2,High,Inspect Machine,100.0
2025-01-02 19:30:00,Finishing,M020,46.0,Evening,0.015,84.8,120.56,1.51,23.1,59.6,1.25,Broken Yarn,No,0,0,54.32,899.99,58.9,91.2,Low,Continue Production,66.2
2025-01-02 20:00:00,Spinning,M003,15508.0,Evening,0.0231,81.7,172.75,2.09,20.3,56.3,1.72,Hole,No,1,0,70.03,1394.57,52.6,93.4,Medium,Check Energy Usage,64.5
2025-01-02 20:30:00,Weaving,M006,748.0,Evening,0.0193,86.4,135.9,1.56,20.8,60.2,1.73,Stain,Yes,1,0,58.41,1074.27,55.8,84.1,Low,Reduce Machine Speed,60.9
2025-01-02 21:00:00,Finishing,M019,100.0,Evening,0.017,109.6,199.21,1.78,24.8,53.8,1.09,Stain,No,1,0,86.13,1553.76,85.3,93.0,High,Check Energy Usage,90.0
2025-01-02 21:30:00,Weaving,M006,1225.0,Evening,0.0167,109.3,195.64,1.76,22.2,39.2,1.85,Stain,Yes,1,0,87.71,1478.25,79.8,90.3,High,Optimize Machine Load,84.6
2025-01-02 22:00:00,Knitting,M009,1414.0,Night,0.0128,100.6,130.22,1.28,19.7,64.1,1.91,Hole,No,1,0,63.48,979.52,58.1,85.5,Low,Check Energy Usage,66.2
2025-01-02 22:30:00,Weaving,M007,533.0,Night,0.0165,81.0,145.9,1.76,21.3,57.3,1.51,,No,1,0,64.44,1052.23,62.2,91.9,Medium,Optimize Machine Load,66.5
2025-01-02 23:00:00,Weaving,M006,1277.0,Night,0.0243,110.9,125.06,1.13,22.3,61.1,2.39,Broken Yarn,No,0,1,51.74,982.98,81.2,84.6,Low,Reduce Machine Speed,79.8
2025-01-02 23:30:00,Dyeing,M016,66.0,Night,0.0232,103.4,230.99,2.21,26.2,75.9,1.2,Stain,No,1,0,102.71,1777.48,73.2,94.4,High,Optimize Machine Load,83.6
2025-01-03 00:00:00,Knitting,M012,1602.0,Night,0.0122,94.3,118.23,1.3,21.3,64.8,2.31,Hole,No,1,1,48.16,951.17,54.2,87.6,Low,Inspect Machine,60.3
2025-01-03 00:30:00,Knitting,M009,1370.0,Night,0.0078,86.2,126.35,1.44,21.8,52.0,1.49,Broken Yarn,No,1,0,50.32,953.09,62.3,93.3,Low,Optimize Machine Load,72.0
2025-01-03 01:00:00,Dyeing,M015,32.0,Night,0.0224,95.6,166.53,1.7,28.5,73.9,1.54,Hole,No,0,0,64.73,1261.62,71.5,93.7,Medium,Continue Production,74.2
2025-01-03 01:30:00,Knitting,M009,986.0,Night,0.0099,70.8,73.15,1.09,21.1,62.8,1.15,Hole,No,0,0,25.27,563.47,35.6,90.1,Low,Continue Production,52.3
2025-01-03 02:00:00,Dyeing,M015,52.0,Night,0.0194,111.8,218.32,1.95,24.7,73.9,1.3,Stain,No,1,0,90.51,1697.09,81.6,93.4,High,Optimize Machine Load,82.5
2025-01-03 02:30:00,Dyeing,M016,44.0,Night,0.0253,98.7,185.76,1.92,24.1,66.0,0.86,Stain,No,1,0,75.35,1354.82,88.9,98.1,High,Check Energy Usage,88.3
2025-01-03 03:00:00,Finishing,M017,62.0,Night,0.0095,84.3,140.15,1.7,24.0,68.3,1.59,Broken Yarn,No,1,0,61.66,1095.98,57.7,89.5,Medium,Optimize Machine Load,63.5
2025-01-03 03:30:00,Spinning,M002,21953.0,Night,0.0189,92.5,194.9,2.18,22.4,64.6,1.94,Broken Yarn,No,1,0,79.2,1482.37,61.6,90.9,High,Optimize Machine Load,67.3
2025-01-03 04:00:00,Finishing,M018,79.0,Night,0.021,109.0,151.47,1.32,25.1,67.9,1.92,Stain,No,0,0,52.71,1110.34,75.4,90.7,Medium,Continue Production,80.4
2025-01-03 04:30:00,Knitting,M010,1450.0,Night,0.0213,118.6,171.25,1.39,24.3,64.7,2.26,Stain,Yes,1,0,69.63,1219.83,99.6,89.4,Medium,Optimize Machine Load,97.3
2025-01-03 05:00:00,Weaving,M005,1001.0,Night,0.021,106.5,168.3,1.55,23.4,72.6,2.29,Hole,No,1,0,70.65,1275.3,76.7,83.7,Medium,Check Energy Usage,75.2
2025-01-03 05:30:00,Dyeing,M016,30.0,Night,0.024,114.4,228.05,1.89,25.7,78.3,1.49,Stain,No,0,0,95.87,1793.37,92.0,87.8,High,Continue Production,90.9
2025-01-03 06:00:00,Weaving,M007,862.0,Morning,0.0083,92.5,118.19,1.29,21.8,54.4,1.58,Broken Yarn,No,0,0,57.02,966.41,62.8,91.9,Low,Continue Production,66.6
2025-01-03 06:30:00,Knitting,M010,1146.0,Morning,0.0146,93.5,140.68,1.31,21.1,67.1,2.1,Hole,No,1,0,58.18,1084.79,74.3,93.2,Medium,Check Energy Usage,81.0
2025-01-03 07:00:00,Spinning,M004,33421.0,Morning,0.0227,72.9,114.55,1.59,20.5,51.3,1.6,,No,0,0,52.89,950.21,39.6,83.5,Low,Continue Production,53.1
2025-01-03 07:30:00,Spinning,M002,32772.0,Morning,0.0097,113.1,239.04,2.1,21.8,55.1,1.66,Broken Yarn,No,1,0,102.95,1817.38,85.3,93.9,High,Reduce Machine Speed,87.4
2025-01-03 08:00:00,Spinning,M004,19631.0,Morning,0.0076,70.2,121.17,1.76,22.0,49.4,1.72,Float,No,0,0,52.06,960.24,44.5,91.0,Low,Continue Production,56.9
2025-01-03 08:30:00,Dyeing,M016,71.0,Morning,0.0212,111.9,219.32,1.94,26.3,78.4,2.3,Stain,Yes,0,1,91.19,1650.98,89.7,90.5,High,Schedule Maintenance,95.2
2025-01-03 09:00:00,Dyeing,M015,21.0,Morning,0.0147,89.0,174.11,1.9,26.2,70.6,0.24,Broken Yarn,Yes,0,0,74.81,1304.39,64.7,99.0,Medium,Continue Production,72.8
2025-01-03 09:30:00,Spinning,M004,15976.0,Morning,0.0189,70.8,157.91,2.24,20.5,38.2,1.68,Broken Yarn,No,1,0,65.0,1174.59,39.5,85.5,Medium,Check Energy Usage,48.2
2025-01-03 10:00:00,Dyeing,M014,26.0,Morning,0.0131,100.9,203.38,1.91,27.5,83.0,1.45,Broken Yarn,No,1,0,88.34,1465.3,73.4,93.9,High,Reduce Machine Speed,80.3
2025-01-03 10:30:00,Weaving,M005,735.0,Morning,0.0197,85.2,123.27,1.43,22.7,55.6,1.01,Stain,No,1,0,52.18,989.57,45.4,93.9,Low,Check Energy Usage,54.1
2025-01-03 11:00:00,Knitting,M010,1355.0,Morning,0.0155,107.2,121.69,1.12,22.8,59.7,0.8,Float,No,0,0,48.67,900.4,65.0,97.5,Low,Continue Production,72.5
2025-01-03 11:30:00,Knitting,M010,1558.0,Morning,0.0077,108.9,151.36,1.44,19.8,50.3,1.05,Float,No,1,0,69.2,1119.79,85.4,95.4,Medium,Check Energy Usage,86.1
2025-01-03 12:00:00,Knitting,M009,1282.0,Morning,0.0134,77.5,106.36,1.34,20.5,59.0,1.83,Stain,No,1,0,47.55,762.2,47.2,85.8,Low,Optimize Machine Load,54.7
2025-01-03 12:30:00,Spinning,M001,31869.0,Morning,0.0096,96.1,184.67,1.93,18.9,53.1,1.88,Broken Yarn,No,0,0,77.8,1397.16,64.0,90.9,High,Continue Production,70.0
2025-01-03 13:00:00,Dyeing,M013,38.0,Morning,0.0074,92.6,173.22,1.91,26.4,71.1,1.43,Float,No,0,0,75.24,1388.74,68.8,94.0,Medium,Continue Production,77.8
2025-01-03 13:30:00,Spinning,M003,23037.0,Morning,0.0202,111.5,186.01,1.71,19.6,44.6,1.19,Float,No,0,0,79.84,1499.29,90.6,95.6,High,Continue Production,95.2
2025-01-03 14:00:00,Knitting,M012,1040.0,Evening,0.0105,81.8,123.19,1.31,21.1,66.6,1.55,Hole,No,1,0,49.62,871.04,55.4,90.2,Low,Optimize Machine Load,66.9
2025-01-03 14:30:00,Dyeing,M015,49.0,Evening,0.015,112.4,178.26,1.6,29.2,76.4,1.37,Hole,No,0,0,77.11,1342.38,95.0,99.0,High,Continue Production,97.0
2025-01-03 15:00:00,Weaving,M007,660.0,Evening,0.0207,79.6,125.78,1.69,22.2,57.9,1.67,Stain,No,1,0,51.73,915.81,54.4,88.2,Low,Reduce Machine Speed,62.1
2025-01-03 15:30:00,Finishing,M017,47.0,Evening,0.0109,81.4,131.75,1.67,25.4,71.0,1.33,Hole,No,1,0,53.0,1042.15,56.9,97.3,Low,Optimize Machine Load,59.9
2025-01-03 16:00:00,Weaving,M008,584.0,Evening,0.0157,77.6,154.11,1.99,21.6,58.7,1.34,Float,Yes,1,0,59.93,1184.24,52.6,90.9,Medium,Check Energy Usage,63.3
2025-01-03 16:30:00,Finishing,M020,88.0,Evening,0.024,95.8,142.19,1.45,25.3,58.7,1.44,Stain,No,0,0,59.85,1056.6,58.5,95.6,Medium,Continue Production,60.9
2025-01-03 17:00:00,Finishing,M017,99.0,Evening,0.0093,122.9,203.66,1.63,24.5,67.4,1.36,Stain,No,1,0,90.05,1552.76,96.1,97.0,High,Check Energy Usage,90.6
2025-01-03 17:30:00,Weaving,M005,873.0,Evening,0.0109,83.2,160.48,1.88,20.9,56.7,1.53,Float,No,1,0,66.39,1202.16,39.2,89.7,Medium,Check Energy Usage,51.3
2025-01-03 18:00:00,Spinning,M004,16196.0,Evening,0.0085,77.9,170.63,2.24,22.1,61.4,1.72,Broken Yarn,No,1,0,83.62,1363.06,44.6,92.6,Medium,Reduce Machine Speed,57.4
2025-01-03 18:30:00,Spinning,M002,13535.0,Evening,0.0086,81.8,153.37,1.85,21.5,60.8,1.89,Stain,Yes,0,0,69.65,1189.02,56.7,93.0,Medium,Continue Production,64.4
2025-01-03 19:00:00,Dyeing,M013,65.0,Evening,0.0073,112.4,219.54,2.0,26.0,80.2,1.89,Stain,Yes,1,0,99.84,1697.49,75.5,87.8,High,Check Energy Usage,83.2
